rating,tanggal
9.7,2021-10-14
9.7,2021-10-07
9.7,2021-09-30
9.7,2021-09-30
9.7,2021-09-28
9.7,2021-09-25
9.7,2021-09-23
9.7,2021-09-22
9.7,2021-09-21
9.7,2021-09-21
9.7,2021-09-19
9.7,2021-09-17
9.7,2021-09-30
9.7,2021-09-30
9.7,2021-09-28
9.7,2021-09-25
9.7,2021-09-23
9.7,2021-09-22
9.7,2021-09-21
9.7,2021-09-21
9.7,2021-09-19
9.7,2021-09-17
9.7,2021-09-17
9.7,2021-09-15
9.7,2021-09-12
9.7,2021-09-11
9.6,2023-05-15
9.6,2023-03-20
9.6,2021-11-29
9.4,2023-06-21
9.4,2023-06-07
9.4,2023-03-26
9.7,2021-09-17
9.7,2021-09-15
9.7,2021-09-12
9.7,2021-09-11
9.6,2023-05-15
9.6,2023-03-20
9.6,2021-11-29
9.4,2023-06-21
9.4,2023-06-07
9.4,2023-03-26
9.4,2023-03-07
9.4,2023-02-03
9.4,2022-10-19
9.4,2022-10-02
9.4,2022-09-17
9.4,2022-08-26
9.4,2022-08-08
9.4,2022-07-30
9.4,2022-04-12
9.4,2022-04-06
9.4,2023-03-07
9.4,2023-02-03
9.4,2022-10-19
9.4,2022-10-02
9.4,2022-09-17
9.4,2022-08-26
9.4,2022-08-08
9.4,2022-07-30
9.4,2022-04-12
9.4,2022-04-06
9.4,2022-03-26
9.4,2022-03-21
9.4,2022-03-20
9.4,2022-02-17
9.4,2022-02-04
9.4,2021-12-28
9.4,2021-11-30
9.4,2021-10-10
9.3,2022-05-16
9.3,2021-11-21
9.4,2022-03-26
9.4,2022-03-21
9.4,2022-03-20
9.4,2022-02-17
9.4,2022-02-04
9.4,2021-12-28
9.4,2021-11-30
9.4,2021-10-10
9.3,2022-05-16
9.3,2021-11-21
9.3,2021-11-04
9.1,2023-08-26
9.1,2023-08-23
9.1,2023-04-02
9.1,2022-10-17
9.1,2022-09-26
9.1,2022-09-26
9.1,2022-07-27
9.1,2022-07-17
9.1,2022-07-15
9.3,2021-11-04
9.1,2023-08-26
9.1,2023-08-23
9.1,2023-04-02
9.1,2022-10-17
9.1,2022-09-26
9.1,2022-09-26
9.1,2022-07-27
9.1,2022-07-17
9.1,2022-07-15
9.1,2022-05-25
9.1,2022-05-20
9.1,2022-04-25
9.1,2022-04-02
9.1,2022-04-01
9.1,2022-03-14
9.1,2022-03-14
9.1,2022-01-27
9.1,2021-11-17
9.1,2021-11-01
9.1,2022-05-25
9.1,2022-05-20
9.1,2022-04-25
9.1,2022-04-02
9.1,2022-04-01
9.1,2022-03-14
9.1,2022-03-14
9.1,2022-01-27
9.1,2021-11-17
9.1,2021-11-01
9.1,2021-09-13
9.0,2023-04-26
9.0,2021-10-19
9.0,2021-09-13
8.9,2023-06-25
8.9,2023-02-14
8.8,2023-09-02
8.8,2023-06-27
8.8,2023-06-22
8.8,2023-05-01
9.1,2021-09-13
9.0,2023-04-26
9.0,2021-10-19
9.0,2021-09-13
8.9,2023-06-25
8.9,2023-02-14
8.8,2023-09-02
8.8,2023-06-27
8.8,2023-06-22
8.8,2023-05-01
8.8,2023-04-20
8.8,2023-04-12
8.8,2023-04-09
8.8,2023-03-29
8.8,2023-03-16
8.8,2022-11-26
8.8,2022-06-07
8.8,2022-05-16
8.8,2022-04-28
8.8,2022-01-04
8.8,2023-04-20
8.8,2023-04-12
8.8,2023-04-09
8.8,2023-03-29
8.8,2023-03-16
8.8,2022-11-26
8.8,2022-06-07
8.8,2022-05-16
8.8,2022-04-28
8.8,2022-01-04
8.8,2021-12-27
8.8,2021-12-24
8.8,2021-12-16
8.8,2021-12-07
8.8,2021-11-04
8.8,2021-11-04
8.7,2023-07-09
8.7,2023-05-29
8.7,2022-11-16
8.7,2022-06-07
8.8,2021-12-27
8.8,2021-12-24
8.8,2021-12-16
8.8,2021-12-07
8.8,2021-11-04
8.8,2021-11-04
8.7,2023-07-09
8.7,2023-05-29
8.7,2022-11-16
8.7,2022-06-07
8.7,2022-03-06
8.7,2021-10-03
8.6,2023-05-09
8.6,2023-01-16
8.6,2022-07-18
8.5,2023-09-05
8.5,2023-08-16
8.5,2023-08-03
8.5,2023-07-31
8.5,2023-07-23
8.7,2022-03-06
8.7,2021-10-03
8.6,2023-05-09
8.6,2023-01-16
8.6,2022-07-18
8.5,2023-09-05
8.5,2023-08-16
8.5,2023-08-03
8.5,2023-07-31
8.5,2023-07-23
8.5,2023-07-08
8.5,2023-07-06
8.5,2023-07-03
8.5,2023-06-24
8.5,2023-06-19
8.5,2023-06-18
8.5,2023-06-06
8.5,2023-06-01
8.5,2023-05-28
8.5,2023-05-03
8.5,2023-07-08
8.5,2023-07-06
8.5,2023-07-03
8.5,2023-06-24
8.5,2023-06-19
8.5,2023-06-18
8.5,2023-06-06
8.5,2023-06-01
8.5,2023-05-28
8.5,2023-05-03
8.5,2023-04-30
8.5,2023-04-17
8.5,2023-04-17
8.5,2023-04-04
8.5,2023-04-01
8.5,2023-03-29
8.5,2023-03-27
8.5,2023-03-01
8.5,2023-02-27
8.5,2023-02-06
8.5,2023-04-30
8.5,2023-04-17
8.5,2023-04-17
8.5,2023-04-04
8.5,2023-04-01
8.5,2023-03-29
8.5,2023-03-27
8.5,2023-03-01
8.5,2023-02-27
8.5,2023-02-06
8.5,2023-01-31
8.5,2023-01-23
8.5,2023-01-17
8.5,2023-01-17
8.5,2023-01-14
8.5,2022-12-31
8.5,2022-10-10
8.5,2022-10-03
8.5,2022-10-02
8.5,2022-09-13
8.5,2023-01-31
8.5,2023-01-23
8.5,2023-01-17
8.5,2023-01-17
8.5,2023-01-14
8.5,2022-12-31
8.5,2022-10-10
8.5,2022-10-03
8.5,2022-10-02
8.5,2022-09-13
8.5,2022-08-26
8.5,2022-08-22
8.5,2022-08-22
